id,generation,founder,dosage
909,1,0,408
910,1,0,419
911,1,0,412
912,1,0,393
913,1,0,398
914,1,0,430
915,1,0,431
916,1,0,426
917,1,0,427
918,1,0,417
919,1,0,420
920,1,0,415
921,1,0,410
922,1,0,395
923,1,0,415
924,1,0,409
925,1,0,410
926,1,0,409
927,1,0,416
928,1,0,422
929,1,0,428
930,1,0,420
931,1,0,418
932,1,0,406
933,1,0,398
934,1,0,416
935,1,0,427
936,1,0,425
937,1,0,418
938,1,0,441
939,1,0,406
940,1,0,434
941,1,0,419
942,1,0,415
943,1,0,422
944,1,0,405
945,1,0,410
946,1,0,406
947,1,0,427
948,1,0,425
949,1,0,425
950,1,0,411
951,1,0,407
952,1,0,432
953,1,0,413
954,1,0,412
955,1,0,407
956,1,0,429
957,1,0,415
958,1,0,418
959,1,0,406
960,1,0,410
961,1,0,403
962,1,0,402
963,1,0,418
964,1,0,422
965,1,0,397
966,1,0,417
967,1,0,410
968,1,0,402
969,1,0,397
970,1,0,393
971,1,0,411
972,1,0,404
973,1,0,420
974,1,0,428
975,1,0,420
976,1,0,414
977,1,0,403
978,1,0,438
979,1,0,419
980,1,0,413
981,1,0,431
982,1,0,419
983,1,0,417
984,1,0,437
985,1,0,422
986,1,0,429
987,1,0,448
988,1,0,420
989,1,0,418
990,1,0,446
991,1,0,421
992,1,0,427
993,1,0,397
994,1,0,408
995,1,0,396
996,1,0,399
997,1,0,400
998,1,0,423
999,1,0,413
1000,2,0,437
1001,2,0,446
1002,2,0,396
1003,2,0,427
1004,2,0,394
1005,2,0,416
1006,2,0,421
1007,2,0,406
1008,2,0,406
1009,2,0,400
1010,2,0,394
1011,2,0,392
1012,2,0,439
1013,2,0,456
1014,2,0,431
1015,2,0,398
1016,2,0,397
1017,2,0,430
1018,2,0,421
1019,2,0,440
1020,2,0,422
1021,2,0,407
1022,2,0,390
1023,2,0,406
1024,2,0,414
1025,2,0,411
1026,2,0,416
1027,2,0,426
1028,2,0,410
1029,2,0,422
1030,2,0,403
1031,2,0,402
1032,2,0,412
1033,2,0,427
1034,2,0,393
1035,2,0,401
1036,2,0,406
1037,2,0,405
1038,2,0,430
1039,2,0,431
1040,2,0,425
1041,2,0,423
1042,2,0,402
1043,2,0,414
1044,2,0,431
1045,2,0,414
1046,2,0,430
1047,2,0,438
1048,2,0,409
1049,2,0,417
1050,2,0,431
1051,2,0,418
1052,2,0,420
1053,2,0,405
1054,2,0,412
1055,2,0,423
1056,2,0,423
1057,2,0,425
1058,2,0,390
1059,2,0,393
1060,2,0,419
1061,2,0,411
1062,2,0,443
1063,2,0,446
1064,2,0,409
1065,2,0,405
1066,2,0,439
1067,2,0,428
1068,2,0,417
1069,2,0,409
1070,2,0,390
1071,2,0,406
1072,2,0,429
1073,2,0,410
1074,2,0,397
1075,2,0,388
1076,2,0,429
1077,2,0,432
1078,2,0,420
1079,2,0,431
1080,2,0,406
1081,2,0,410
1082,2,0,430
1083,2,0,436
1084,2,0,404
1085,2,0,423
1086,2,0,388
1087,2,0,379
1088,2,0,393
1089,2,0,402
1090,2,0,426
1091,2,0,406
1092,2,0,414
1093,2,0,407
1094,2,0,420
1095,2,0,407
1096,2,0,412
1097,2,0,419
1098,2,0,418
1099,2,0,395
1100,2,0,407
1101,2,0,388
1102,2,0,406
1103,2,0,414
1104,2,0,415
1105,2,0,430
1106,2,0,412
1107,2,0,425
1108,2,0,425
1109,2,0,416
1110,2,0,440
1111,2,0,442
1112,2,0,428
1113,2,0,417
1114,2,0,422
1115,2,0,410
1116,2,0,398
1117,2,0,408
1118,2,0,425
1119,2,0,399
1120,2,0,411
1121,2,0,407
1122,2,0,405
1123,2,0,421
1124,2,0,404
1125,2,0,444
1126,2,0,436
1127,2,0,405
1128,2,0,407
1129,2,0,392
1130,2,0,392
1131,2,0,409
1132,2,0,410
1133,2,0,399
1134,2,0,428
1135,2,0,432
1136,2,0,414
1137,2,0,442
1138,2,0,393
1139,2,0,425
1140,2,0,394
1141,2,0,374
1142,2,0,418
1143,2,0,410
1144,2,0,421
1145,2,0,416
1146,2,0,416
1147,2,0,396
1148,2,0,412
1149,2,0,407
1150,2,0,442
1151,2,0,424
1152,2,0,414
1153,2,0,409
1154,2,0,410
1155,2,0,418
1156,2,0,418
1157,2,0,418
1158,2,0,433
1159,2,0,429
1160,2,0,403
1161,2,0,415
1162,2,0,423
1163,2,0,436
1164,2,0,424
1165,2,0,442
1166,2,0,402
1167,2,0,397
1168,2,0,422
1169,2,0,401
1170,2,0,423
1171,2,0,407
1172,2,0,408
1173,2,0,422
1174,2,0,408
1175,2,0,404
1176,2,0,425
1177,2,0,417
1178,2,0,419
1179,2,0,436
1180,2,0,420
1181,2,0,423
1182,2,0,422
1183,2,0,407
1184,2,0,392
1185,2,0,403
1186,2,0,404
1187,2,0,418
1188,2,0,411
1189,2,0,437
